,"�?Key""""""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,asreview_label,asreview_time,asreview_note
269,KZHK6CQ8,journalArticle,2024,"Liu, Bingwen; Chang, Jianye; Hou, Dengfeng; Pan, Yuchen; Li, Dengao; Ruan, Jue",Recognition and Localization of Maize Leaf and Stalk Trajectories in RGB Images Based on Point-Line Net,Plant Phenomics,,2643-6515,10.34133/plantphenomics.0199,https://www.sciencedirect.com/science/article/pii/S2643651524002498,"Plant phenotype detection plays a crucial role in understanding and studying plant biology, agriculture, and ecology. It involves the quantification and analysis of various physical traits and characteristics of plants, such as plant height, leaf shape, angle, number, and growth trajectory. By accurately detecting and measuring these phenotypic traits, researchers can gain insights into plant growth, development, stress tolerance, and the influence of environmental factors, which has important implications for crop breeding. Among these phenotypic characteristics, the number of leaves and growth trajectory of the plant are most accessible. Nonetheless, obtaining these phenotypes is labor intensive and financially demanding. With the rapid development of computer vision technology and artificial intelligence, using maize field images to fully analyze plant-related information can greatly eliminate repetitive labor and enhance the efficiency of plant breeding. However, it is still difficult to apply deep learning methods in field environments to determine the number and growth trajectory of leaves and stalks due to the complex backgrounds and serious occlusion problems of crops in field environments. To preliminarily explore the application of deep learning technology to the acquisition of the number of leaves and stalks and the tracking of growth trajectories in field agriculture, in this study, we developed a deep learning method called Point-Line Net, which is based on the Mask R-CNN framework, to automatically recognize maize field RGB images and determine the number and growth trajectory of leaves and stalks. The experimental results demonstrate that the object detection accuracy (mAP50) of our Point-Line Net can reach 81.5%. Moreover, to describe the position and growth of leaves and stalks, we introduced a new lightweight “keypoint�?detection branch that achieved a magnitude of 33.5 using our custom distance verification index. Overall, these findings provide valuable insights for future field plant phenotype detection, particularly for datasets with dot and line annotations.",01/01/2024,19/11/2025 13:02,19/11/2025 13:02,19/11/2025 13:02,199,,,6,,Plant Phenomics,,,,,,,,,,,,,ScienceDirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 17:51,
204,TXLNRLCQ,journalArticle,2025,"Pan, Yuchen; Chang, Jianye; Dong, Zhemeng; Liu, Bingwen; Wang, Li; Liu, Hailin; Ruan, Jue",PFLO: a high-throughput pose estimation model for field maize based on YOLO architecture,Plant Methods,,1746-4811,10.1186/s13007-025-01369-6,https://doi.org/10.1186/s13007-025-01369-6,"Posture is a critical phenotypic trait that reflects crop growth and serves as an essential indicator for both agricultural production and scientific research. Accurate pose estimation enables real-time tracking of crop growth processes, but in field environments, challenges such as variable backgrounds, dense planting, occlusions, and morphological changes hinder precise posture analysis. To address these challenges, we propose PFLO (Pose Estimation Model of Field Maize Based on YOLO Architecture), an end-to-end model for maize pose estimation, coupled with a novel data processing method to generate bounding boxes and pose skeleton data from a""keypoint-line""annotated phenotypic database which could mitigate the effects of uneven manual annotations and biases. PFLO also incorporates advanced architectural enhancements to optimize feature extraction and selection, enabling robust performance in complex conditions such as dense arrangements and severe occlusions. On a fivefold validation set of 1,862 images, PFLO achieved 72.2% pose estimation mean average precision (mAP50) and 91.6% object detection mean average precision (mAP50), outperforming current state-of-the-art models. The model demonstrates improved detection of occluded, edge, and small targets, accurately reconstructing skeletal poses of maize crops. PFLO provides a powerful tool for real-time phenotypic analysis, advancing automated crop monitoring in precision agriculture.",15/04/2025,19/11/2025 07:18,19/11/2025 07:18,19/11/2025 07:18,51,,1,21,,Plant Methods,PFLO,,,,,,,,,,,,BioMed Central,,,,E:\Zotero\storage\CRSZ9PHI\s13007-025-01369-6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 17:51,
303,X9XHAUWK,journalArticle,2025,"Han, Bing; Sun, Zhuangzhuang; Liu, Shouyang; Cao, Yuqi; He, Jianbo; Zhu, Yifan; Zhang, Hongwen; Fang, Zhengxin; Fu, Xiuqing",A wheat posture monitoring and analysis system based on keypoint detection,Computers and Electronics in Agriculture,,0168-1699,10.1016/j.compag.2025.110928,https://www.sciencedirect.com/science/article/pii/S0168169925010348,"Keypoint detection is widely employed in human and animal phenotype studies for pose acquisition. However, their use in plant posture analysis remains limited due to challenges such as a lack of annotated datasets and difficulties in achieving real-time, high-throughput image acquisition. This study presents a system for real-time acquisition and analysis, proposing a novel keypoint detection method to enable high-throughput image collection from the flowering stage to maturity while simultaneously extracting wheat posture information. A comparative analysis was conducted of the baseline ResNet-18 model based on coordinate regression and the baseline UNet, HRNet32, and HRNet48 models based on heatmap regression through extensive hyperparameter optimization. Among these, the UNet model, after optimization, achieved a mean average precision (mAP) of 90.65. To enhance the recognition capability for wheat leaf curling characteristics, the optimal UNet model was extended from detecting 8 keypoints to 11 keypoints. The refined UNet-WP (Wheat Posture) model achieved a peak mean average precision (mAP) of 94.72% through further hyperparameter optimization. Additionally, this study conducted drought stress experiments on three representative wheat varieties. By deploying the UNet-WP model in an embedded system, morphological parameters such as spike length, leaf length, and leaf pinch angle were extracted, enabling real-time analysis of the drought stress tolerance across different wheat varieties. This research provides a novel, non-invasive approach to analyzing the physiological status of wheat.",01/12/2025,20/11/2025 21:27,20/11/2025 21:27,20/11/2025 21:27,110928,,,239,,Computers and Electronics in Agriculture,,,,,,,,,,,,,ScienceDirect,,,,E:\Zotero\storage\BT2FLXB8\S0168169925010348.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 17:51,
300,5GYRKI6T,journalArticle,2024,"He, Jingjing; Weng, Lin; Xu, Xiaogang; Chen, Ruochen; Peng, Bo; Li, Nannan; Xie, Zhengchao; Sun, Lijian; Han, Qiang; He, Pengfei; Wang, Fangfang; Yu, Hui; Bhat, Javaid Akhter; Feng, Xianzhong",DEKR-SPrior: An Efficient Bottom-Up Keypoint Detection Model for Accurate Pod Phenotyping in Soybean,Plant Phenomics,,2643-6515,10.34133/plantphenomics.0198,https://www.sciencedirect.com/science/article/pii/S264365152400253X,"The pod and seed counts are important yield-related traits in soybean. High-precision soybean breeders face the major challenge of accurately phenotyping the number of pods and seeds in a high-throughput manner. Recent advances in artificial intelligence, especially deep learning (DL) models, have provided new avenues for high-throughput phenotyping of crop traits with increased precision. However, the available DL models are less effective for phenotyping pods that are densely packed and overlap in in situ soybean plants; thus, accurate phenotyping of the number of pods and seeds in soybean plant is an important challenge. To address this challenge, the present study proposed a bottom-up model, DEKR-SPrior (disentangled keypoint regression with structural prior), for in situ soybean pod phenotyping, which considers soybean pods and seeds analogous to human people and joints, respectively. In particular, we designed a novel structural prior (SPrior) module that utilizes cosine similarity to improve feature discrimination, which is important for differentiating closely located seeds from highly similar seeds. To further enhance the accuracy of pod location, we cropped full-sized images into smaller and high-resolution subimages for analysis. The results on our image datasets revealed that DEKR-SPrior outperformed multiple bottom-up models, viz., Lightweight-OpenPose, OpenPose, HigherHRNet, and DEKR, reducing the mean absolute error from 25.81 (in the original DEKR) to 21.11 (in the DEKR-SPrior) in pod phenotyping. This paper demonstrated the great potential of DEKR-SPrior for plant phenotyping, and we hope that DEKR-SPrior will help future plant phenotyping.",01/01/2024,20/11/2025 21:25,20/11/2025 21:25,20/11/2025 21:25,198,,,6,,Plant Phenomics,DEKR-SPrior,,,,,,,,,,,,ScienceDirect,,,,E:\Zotero\storage\E5K4R36P\S264365152400253X.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 17:51,
64,4ZR8RK8F,journalArticle,2025,"Dai, Shuo; Bai, Tao; Zhao, Yunjie",Keypoint Detection and 3D Localization Method for Ridge-Cultivated Strawberry Harvesting Robots,Agriculture,,2077-0472,10.3390/agriculture15040372,https://www.mdpi.com/2077-0472/15/4/372,"With the development of intelligent modern agriculture, strawberry harvesting robots play an increasingly important role in precision agriculture. However, existing vision systems face multiple challenges in complex farmland environments, including fruit occlusion, difficulties in recognizing fruits at varying ripeness levels, and limited real-time processing capabilities. This study proposes a keypoint detection and 3D localization method for strawberry fruits utilizing a depth camera to address these challenges. By introducing a Haar Wavelet Downsampling (HWD) module and Gold-YOLO neck, the proposed method achieves significant improvements in feature extraction and detection performance. The integration of the HWD module effectively reduces image noise, enhances feature extraction accuracy, and strengthens the method’s ability to recognize fruit stems. Additionally, incorporating the Gold-YOLO neck structure enhances multi-scale feature fusion, improving detection accuracy and enabling the method to adapt to complex environments. To further accelerate inference speed and enable deployment in an embedded system, Layer-adaptive sparsity for Magnitude-based Pruning (LAMP) technology is employed, significantly reducing redundant parameters and thereby enhancing the lightweight performance of the model. Experimental results demonstrate that the proposed method can accurately identify strawberries at different ripeness stages and exhibits strong robustness under various lighting conditions and complex scenarios, achieving an average precision of 97.3% while reducing model parameters to 38.2% of the original model, significantly improving the efficiency of strawberry fruit localization. This method provides robust technical support for the practical application and widespread adoption of agricultural robots.",10/02/2025,14/11/2025 15:55,14/11/2025 16:27,14/11/2025 16:27,372,,4,15,,Agriculture,,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 17:52,
90,82DEXW3Y,journalArticle,2025,"Chen, Pinlan; Yan, Bin; Deng, Ganran; Li, Guojie; Cui, Zhende; Zheng, Shuang; He, Fengguang; Li, Ling; Wang, Xilin; Zhou, Sili; Qin, Shuangmei; Liu, Zehua; Dai, Ye",Pose detection and localization of pineapple fruit picking based on improved litehrnet,Frontiers in Plant Science,,1664-462X,10.3389/fpls.2025.1577312,https://www.frontiersin.org/articles/10.3389/fpls.2025.1577312/full,"To achieve accurate detection of the pineapple fruit picking area and pose under complex backgrounds and varying lighting conditions, this study proposes a pineapple keypoint detection model (LTHRNet) based on an improved LiteHRNet. Image data of pineapple fruits under different lighting conditions were collected, and six keypoints were defined to characterize the morphological features of the fruit. In the model design, LTHRNet incorporates the LKA_Stem module to enhance initial feature extraction, the D-Mixer module to capture both global and local feature relationships, and the MS-FFN module to achieve multi-scale feature fusion. In addition, the model employs parallel sub-networks with different resolutions to maintain high-resolution feature information and improve the precision and spatial accuracy of keypoint detection. Experimental results show that LTHRNet performs well in pineapple keypoint detection. It achieves 93.5% and 95.1% in KAP               0.5               and KAR               0.5               , respectively, outperforming other models in terms of detection accuracy and robustness under challenging lighting and occlusion conditions, with a detection speed of 21.1 fps. For pose estimation, the average offset angle (AOA) of LTHRNet is 2.37°, which is significantly lower than that of other models. In summary, the proposed LTHRNet model demonstrates high accuracy and strong robustness in pineapple keypoint detection and pose estimation, providing reliable keypoint localization and pose estimation data for pineapple harvesting, while also offering an effective reference for pose recognition in other fruit-picking tasks.",21/05/2025,14/11/2025 15:56,14/11/2025 16:28,14/11/2025 16:28,1577312,,,16,,Front. Plant Sci.,,,,,,,,,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 18:26,
324,GLA2HVZM,journalArticle,2025,"Liu, Fei; Liu, Hang; Wu, Qiong; Han, Zhongzhi; Pang, Shanchen; Wang, Shudong; Zhao, Longgang",Pod-pose : an efficient top-down keypoint detection model for fine-grained pod phenotyping in mature soybean,Plant Methods,,1746-4811,10.1186/s13007-025-01399-0,https://doi.org/10.1186/s13007-025-01399-0,"Phenotypic characterization of mature soybean pods is a crucial aspect of breeding programs, yet efficiently obtaining accurate pod phenotypic parameters remains a major challenge. Recent advances in deep learning, particularly in keypoint detection models, have introduced innovative methods for pod phenotype extraction. However, precise identification and analysis of fine-scale phenotypic traits in soybean pods remain challenging in current research.",09/06/2025,21/11/2025 17:27,21/11/2025 17:27,21/11/2025 17:27,82,,1,21,,Plant Methods,Pod-pose,,,,,,,,,,,,BioMed Central,,,,E:\Zotero\storage\IM2FSDQJ\s13007-025-01399-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 18:26,
74,Y8T87JNV,journalArticle,2025,"Wu, Qiong; Liu, Hang; Zhu, Hongfei; Wang, Cong; Wang, Haoyu; Han, Zhongzhi; Zhao, Longgang; Liu, Fei",YOLO_SSP: An Auto-Algorithm to Detect Mature Soybean Stem Nodes Based on Keypoint Detection,Agronomy,,2073-4395,10.3390/agronomy15051128,https://www.mdpi.com/2073-4395/15/5/1128,"The soybean stem node is a key part of soybean growth and development, and its numbers play a crucial role in soybean yield formation. Traditional manual methods are labor-intensive and error-prone. The keypoint detection method is an ideal choice for stem node detection due to its high accuracy and wide applicability. In this study, a new deep learning method, You Only Look Once _Soybean Stalk Pose (YOLO_SSP) was proposed, which innovatively applied the Small_Effective Low-Level Aggregation Network (S_ELAN) module and fused it with a smaller detection head for detecting stem nodes in mature soybeans. After optimization and iteration, the model achieved 88.1% accuracy on the dataset. Subsequently, by ablating the model, it was found that different improvements were effective in increasing the accuracy of the model. In addition, when comparing the classic YOLO series of keypoint detection models, the results show that YOLO_SSP achieved up to 87.7% of APs, which was higher than YOLOv7-w6-pose, YOLOv7-tiny-pose, YOLOv3s-pose, YOLOv5n-pose, YOLOv5s-pose, YOLOv5m- pose, YOLOv6n-pose, YOLOv8n-pose, and YOLOv10b-pose, which were 2.5%, 12.8%, 5.3%, 3.8%, 3.5%, 3.5%, 5.1%, 5.1%, 5.0%, and 4.5% higher, respectively. Finally, the proposed model was applied to the unique dataset with 85.3% precision and 82.6% accuracy, and the visualization of the model’s detection results proved its applicability and universality. This study provides an effective strategy for soybean stem node detection and significantly improves the accuracy of detection.",02/05/2025,14/11/2025 15:55,14/11/2025 16:28,14/11/2025 16:28,1128,,5,15,,Agronomy,YOLO_SSP,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 18:28,
327,RPNV8D4K,journalArticle,2025,"Liu, Mochen; Xu, Xiaoli; Tian, Tingdong; Shang, Mingrui; Song, Zhanhua; Tian, Fuyang; Yan, Yinfa",A keypoint-based method for detecting weed growth points in corn field environments,Plant Phenomics,,2643-6515,10.1016/j.plaphe.2025.100072,https://www.sciencedirect.com/science/article/pii/S2643651525000780,"Weed growth significantly impacts corn yield. With the continuous development of weed control technologies, achieving more effective and precise weed management has become a major challenge in corn production. To achieve precise weed suppression, this study proposes a growth point detection method based on a keypoint pose estimation model capable of effectively detecting various weeds and locating various weed growth points during the 2nd�?th leaf stage of corn development. To address the complex working environment of precision weeding machines in corn fields, including occlusion, dense growth, and variable lighting conditions, we design a dilation-wise residual module (DWRM) for the detector and a separation and enhancement attention module (SEAM) for pose estimation to adapt to these challenges. Furthermore, owing to the limited computational resources in field settings, we introduced the RepViT block (RVB) to achieve model lightweighting. The proposed method was evaluated on the constructed corn field dataset. The experimental results demonstrated that SRD-YOLO achieved an mAPkpt of 96.5 �?, an F1 score of 94 �?, and an FPS of 169, while reducing the model parameters by 8.7M. SRD-YOLO effectively meets the requirements for growth point localization under challenging conditions, providing robust technical support for real-time and precise weed control in corn fields.",01/09/2025,21/11/2025 17:29,21/11/2025 17:29,21/11/2025 17:29,100072,,3,7,,Plant Phenomics,,,,,,,,,,,,,ScienceDirect,,,,E:\Zotero\storage\83X3YQZT\S2643651525000780.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 18:28,
110,7X75KNCI,journalArticle,2023,"Xiang, Lirong; Gai, Jingyao; Bao, Yin; Yu, Jianming; Schnable, Patrick S.; Tang, Lie",Field‐based robotic leaf angle detection and characterization of maize plants using stereo vision and deep convolutional neural networks,Journal of Field Robotics,,"1556-4959, 1556-4967",10.1002/rob.22166,https://onlinelibrary.wiley.com/doi/10.1002/rob.22166,"Abstract                            Maize (               Zea mays               L.) is one of the three major cereal crops in the world. Leaf angle is an important architectural trait of crops due to its substantial role in light interception by the canopy and hence photosynthetic efficiency. Traditionally, leaf angle has been measured using a protractor, a process that is both slow and laborious. Efficiently measuring leaf angle under field conditions via imaging is challenging due to leaf density in the canopy and the resulting occlusions. However, advances in imaging technologies and machine learning have provided new tools for image acquisition and analysis that could be used to characterize leaf angle using three‐dimensional (3D) models of field‐grown plants. In this study, PhenoBot 3.0, a robotic vehicle designed to traverse between pairs of agronomically spaced rows of crops, was equipped with multiple tiers of PhenoStereo cameras to capture side‐view images of maize plants in the field. PhenoStereo is a customized stereo camera module with integrated strobe lighting for high‐speed stereoscopic image acquisition under variable outdoor lighting conditions. An automated image processing pipeline (AngleNet) was developed to measure leaf angles of nonoccluded leaves. In this pipeline, a novel representation form of leaf angle as a triplet of keypoints was proposed. The pipeline employs convolutional neural networks to detect each leaf angle in two‐dimensional images and 3D modeling approaches to extract quantitative data from reconstructed models. Satisfactory accuracies in terms of correlation coefficient (               r               ) and mean absolute error (MAE) were achieved for leaf angle () and internode heights (). Our study demonstrates the feasibility of using stereo vision to investigate the distribution of leaf angles in maize under field conditions. The proposed system is an efficient alternative to traditional leaf angle phenotyping and thus could accelerate breeding for improved plant architecture.",2023-08,01/07/2024 09:57,14/11/2025 16:29,14/11/2025 16:29,1034-1053,,5,40,,Journal of Field Robotics,,,,,,,,en,,,,,DOI.org (Crossref),,,,E:\Zotero\storage\IKV5WMVB\rob.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21/11/2025 19:40,
